o,d,flow
44003020102,44003022300,150
44003020602,44003022100,150
44003020702,44003020702,150
44003020703,44003020602,150
44003021002,44003021002,150
44005040103,44005040102,150
44005040103,44005040500,150
44005040600,44005040500,150
44005040800,44005040900,150
44007002800,44007000600,150
44007003300,44007003602,150
44007003400,44007000800,150
44007010600,25005632200,150
44007011000,44007011000,150
44007012802,44007012802,150
44007012803,44007018500,150
44007013202,44007013201,150
44007014501,44007000800,150
44007014700,44007014700,150
44009050102,44009050301,150
44009051306,44003980000,150
44001030100,44001030200,145
44003020102,44003021100,145
44003020500,44007014200,145
44003021100,44007000600,145
44003021300,44007000800,145
44003021402,44003022100,145
44005041702,44005040200,145
44007000200,44007002500,145
44007000400,44007000800,145
44007002500,44007000800,145
44007003200,44007003200,145
44007010600,44007000800,145
44007010600,44007010600,145
44007010702,44007000800,145
44007011200,44007011200,145
44007012701,44007012702,145
44007013002,44007012601,145
44007014300,44003022100,145
44007017100,44007011600,145
44007017400,44007018500,145
44009050103,44003021100,145
44009050104,44009050103,145
44009050600,44009050802,145
44009050801,44009050700,145
44009050802,09011701100,145
44009050901,09011701100,145
44009051502,44007000800,145
44001030400,44007000800,140
44003020903,44007000800,140
44003021700,44003021700,140
44003022201,44003020901,140
44005040303,44005040500,140
44005040304,44005040103,140
44005040500,44005041200,140
44005041701,44005041602,140
44007002200,44007002200,140
44007003300,44007003300,140
44007010101,44007000800,140
44007010300,25005632200,140
44007010502,44007000800,140
44007010600,44007000600,140
44007012801,44007012802,140
44007014400,44007014200,140
44007014501,44007014501,140
44007014600,44007000600,140
44007016800,44007011600,140
44007017000,44007017000,140
44007017100,44007017100,140
44007017500,44007017500,140
44007018100,44007018500,140
44009050500,44009050103,140
44009051304,44009051202,140
44009051503,44009051502,140
25021443102,44007018500,135
44003020300,44003020903,135
44003020500,44003020500,135
44003021501,44007000800,135
44003021901,44003021100,135
44003021903,44003021100,135
44003022000,44003022000,135
44005040101,44005040102,135
44005040400,44005040900,135
44007000102,44007000600,135
44007000200,44007000800,135
44007000300,44007010502,135
44007000800,44007000600,135
44007001600,44007011600,135
44007002400,44007012601,135
44007003200,44007003601,135
44007003200,44007003602,135
44007012300,44007000800,135
44007012500,44007012500,135
44007013002,44007012900,135
44007013101,44003021100,135
44007013600,44007013600,135
44007014700,44007014000,135
44007017700,44007012801,135
44007018200,44007018000,135
44009050103,44009050102,135
44009050104,44007000800,135
44009051101,44009051202,135
09011707100,44009050801,130
44001030601,44001030601,130
44001030602,44001030902,130
44001030700,44001030901,130
44001030901,44007000600,130
44003020400,44003020300,130
44003020601,44003020300,130
44003020601,44003020602,130
44003020601,44003021100,130
44003020601,44003022100,130
44003020603,44009051400,130
44003020702,44003022100,130
44003021300,44003021002,130
44003022100,44007014200,130
44003022201,44003022202,130
44003022201,44007011600,130
44005040101,44005041000,130
44005040102,44005041100,130
44005040302,44005040600,130
44005040900,44005040400,130
44007001400,44007014100,130
44007001600,44007014800,130
44007002900,44007000800,130
44007010101,25005632200,130
44007010102,44007010102,130
44007010501,44007000600,130
44007011302,44007011200,130
44007011402,44007011600,130
44007012200,44007012000,130
44007012402,44007012401,130
44007012602,44007011600,130
44007012602,44007014200,130
44007012900,44007018000,130
44007013800,44007000600,130
44007018400,44007000800,130
44007018400,44007018400,130
44009050103,44009051202,130
44009050600,44009050103,130
44009050901,44009051101,130
44009050902,09011705300,130
44009051201,44009051302,130
44009051306,44009051504,130
44003020102,44003022100,125
44003020604,44003021100,125
44003021100,44003022202,125
44003021100,44003022300,125
44003021300,44003021401,125
44003021402,44007000800,125
44003021800,44009050103,125
44005040101,44005040304,125
44005040102,44005041200,125
44005040304,44005041200,125
44005040600,44005040304,125
44007001400,44007000600,125
44007001400,44007011600,125
44007002200,44007000800,125
44007002300,44007018500,125
44007002800,44007015000,125
44007002900,44007000300,125
44007010502,25005632200,125
44007010701,44007000600,125
44007010701,44007010701,125
44007011401,44007012601,125
44007011403,44007000600,125
44007011403,44007011301,125
44007011902,44007011800,125
44007012401,44007012300,125
44007012702,44007000600,125
44007013202,44007013002,125
44007014502,44007000800,125
44007014600,44007014200,125
44007014800,44003022300,125
44007017700,44007018000,125
44009051000,44009051000,125
44009051101,44009050802,125
44009051101,44009051400,125
44001030300,44001030200,120
44001030901,44005040500,120
44001030902,44001030500,120
44003020603,44009050103,120
44003021300,44003022202,120
44003021700,44003022202,120
44005040103,44005040600,120
44005040302,44005040302,120
44005040303,44005041000,120
44005040400,44005040700,120
44005040400,44005040800,120
44005040900,44005040600,120
44005041000,44005040900,120
44007000600,44007000600,120
